year,id_,sex,rincome,ballot,rheight
2022,50,FEMALE,$25000 OR MORE,Ballot c,59
2022,51,FEMALE,$25000 OR MORE,Ballot c,63
2022,52,MALE,$25000 OR MORE,Ballot a,-100
2022,53,FEMALE,.d:  Do not Know/Cannot Choose,Ballot c,66
2022,54,MALE,$25000 OR MORE,Ballot b,-100
2022,55,MALE,$25000 OR MORE,Ballot c,72
2022,56,MALE,.i:  Inapplicable,Ballot a,-100
2022,57,FEMALE,$25000 OR MORE,Ballot b,-100
2022,58,FEMALE,$6000 TO 6999,Ballot a,-100
2022,59,FEMALE,.i:  Inapplicable,Ballot c,60
2022,60,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,61,FEMALE,$25000 OR MORE,Ballot c,60
2022,62,FEMALE,.i:  Inapplicable,Ballot c,65
2022,63,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,64,FEMALE,.i:  Inapplicable,Ballot c,61
2022,65,FEMALE,$8000 TO 9999,Ballot c,62
2022,66,FEMALE,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,67,FEMALE,$25000 OR MORE,Ballot c,67
2022,68,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,69,FEMALE,$25000 OR MORE,Ballot a,-100
2022,70,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,71,MALE,.r:  Refused,Ballot a,-100
2022,72,MALE,$25000 OR MORE,Ballot a,-100
2022,73,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,74,FEMALE,$20000 - 24999,Ballot a,-100
2022,75,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,76,MALE,$25000 OR MORE,Ballot b,-100
2022,77,FEMALE,$20000 - 24999,Ballot c,62
2022,78,FEMALE,$25000 OR MORE,Ballot a,-100
2022,79,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,80,FEMALE,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,81,FEMALE,$25000 OR MORE,Ballot b,-100
2022,82,FEMALE,.i:  Inapplicable,Ballot c,64
2022,83,MALE,$25000 OR MORE,Ballot b,-100
2022,84,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,85,MALE,.i:  Inapplicable,Ballot a,-100
2022,86,MALE,$25000 OR MORE,Ballot a,-100
2022,87,MALE,.i:  Inapplicable,Ballot b,-100
2022,88,MALE,$25000 OR MORE,Ballot a,-100
2022,89,MALE,$25000 OR MORE,Ballot b,-100
2022,90,MALE,.i:  Inapplicable,Ballot b,-100
2022,91,FEMALE,$25000 OR MORE,Ballot a,-100
2022,92,FEMALE,.r:  Refused,Ballot a,-100
2022,93,MALE,$25000 OR MORE,Ballot b,-100
2022,94,FEMALE,$25000 OR MORE,Ballot b,-100
2022,95,MALE,$25000 OR MORE,Ballot b,-100
2022,96,FEMALE,$25000 OR MORE,Ballot a,-100
2022,97,FEMALE,$25000 OR MORE,Ballot b,-100
2022,98,MALE,.i:  Inapplicable,Ballot c,65
2022,99,MALE,.i:  Inapplicable,Ballot b,-100
2022,100,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,101,MALE,.i:  Inapplicable,Ballot c,71
2022,102,FEMALE,$25000 OR MORE,Ballot c,67
2022,103,FEMALE,$15000 - 19999,Ballot c,59
2022,104,MALE,$25000 OR MORE,Ballot b,-100
2022,105,MALE,.i:  Inapplicable,Ballot c,72
2022,106,MALE,$25000 OR MORE,Ballot a,-100
2022,107,MALE,$25000 OR MORE,Ballot b,-100
2022,108,MALE,.i:  Inapplicable,Ballot c,68
2022,109,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,110,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,111,MALE,$25000 OR MORE,Ballot b,-100
2022,112,MALE,$25000 OR MORE,Ballot a,-100
2022,113,MALE,$25000 OR MORE,Ballot c,75
2022,114,MALE,$25000 OR MORE,Ballot b,-100
2022,115,MALE,.r:  Refused,Ballot a,-100
2022,116,MALE,$25000 OR MORE,Ballot b,-100
2022,117,MALE,$25000 OR MORE,Ballot b,-100
2022,118,MALE,$25000 OR MORE,Ballot a,-100
2022,119,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,120,FEMALE,.i:  Inapplicable,Ballot c,71
2022,121,MALE,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,122,MALE,.i:  Inapplicable,Ballot a,-100
2022,123,FEMALE,$25000 OR MORE,Ballot a,-100
2022,124,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,125,FEMALE,$25000 OR MORE,Ballot c,65
2022,126,MALE,.r:  Refused,Ballot b,-100
2022,127,FEMALE,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,128,MALE,$25000 OR MORE,Ballot b,-100
2022,129,MALE,$20000 - 24999,Ballot c,68
2022,130,FEMALE,$25000 OR MORE,Ballot c,63
2022,131,MALE,$7000 TO 7999,Ballot c,72
2022,132,MALE,$25000 OR MORE,Ballot b,-100
2022,133,MALE,$25000 OR MORE,Ballot b,-100
2022,134,MALE,.i:  Inapplicable,Ballot b,-100
2022,135,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,136,FEMALE,.r:  Refused,Ballot b,-100
2022,137,FEMALE,$15000 - 19999,Ballot b,-100
2022,138,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,139,FEMALE,$25000 OR MORE,Ballot c,66
2022,140,FEMALE,$25000 OR MORE,Ballot b,-100
2022,141,FEMALE,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,142,MALE,.i:  Inapplicable,Ballot a,-100
2022,143,MALE,$25000 OR MORE,Ballot a,-100
2022,144,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,145,MALE,.i:  Inapplicable,Ballot c,71
2022,146,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,147,FEMALE,.i:  Inapplicable,Ballot c,-97
2022,148,FEMALE,$20000 - 24999,Ballot a,-100
2022,149,FEMALE,.r:  Refused,Ballot a,-100
2022,150,MALE,$25000 OR MORE,Ballot b,-100
2022,151,FEMALE,$25000 OR MORE,Ballot a,-100
2022,152,MALE,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,153,MALE,.i:  Inapplicable,Ballot c,70
2022,154,FEMALE,.i:  Inapplicable,Ballot c,-97
2022,155,MALE,.i:  Inapplicable,Ballot b,-100
2022,156,FEMALE,$25000 OR MORE,Ballot b,-100
2022,157,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,158,MALE,.i:  Inapplicable,Ballot a,-100
2022,159,MALE,$25000 OR MORE,Ballot a,-100
2022,160,FEMALE,.r:  Refused,Ballot c,60
2022,161,MALE,$25000 OR MORE,Ballot c,67
2022,162,FEMALE,$25000 OR MORE,Ballot b,-100
2022,163,MALE,$25000 OR MORE,Ballot b,-100
2022,164,FEMALE,$25000 OR MORE,Ballot a,-100
2022,165,FEMALE,.i:  Inapplicable,Ballot c,59
2022,166,FEMALE,$25000 OR MORE,Ballot a,-100
2022,167,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,168,FEMALE,$25000 OR MORE,Ballot c,66
2022,169,FEMALE,$25000 OR MORE,Ballot c,62
2022,170,MALE,$25000 OR MORE,Ballot c,71
2022,171,MALE,$25000 OR MORE,Ballot b,-100
2022,172,MALE,$20000 - 24999,Ballot a,-100
2022,173,FEMALE,$25000 OR MORE,Ballot b,-100
2022,174,MALE,.i:  Inapplicable,Ballot b,-100
2022,175,FEMALE,$25000 OR MORE,Ballot b,-100
2022,176,FEMALE,$20000 - 24999,Ballot b,-100
2022,177,FEMALE,$25000 OR MORE,Ballot c,66
2022,178,FEMALE,$4000 TO 4999,Ballot c,63
2022,179,FEMALE,$25000 OR MORE,Ballot b,-100
2022,180,FEMALE,.i:  Inapplicable,Ballot c,61
2022,181,FEMALE,$6000 TO 6999,Ballot b,-100
2022,182,FEMALE,$25000 OR MORE,Ballot a,-100
2022,183,MALE,$10000 - 14999,Ballot b,-100
2022,184,MALE,$25000 OR MORE,Ballot a,-100
2022,185,FEMALE,$25000 OR MORE,Ballot b,-100
2022,186,FEMALE,$25000 OR MORE,Ballot b,-100
2022,187,MALE,.i:  Inapplicable,Ballot b,-100
2022,188,MALE,$25000 OR MORE,Ballot c,74
2022,189,FEMALE,$1000 TO 2999,Ballot c,66
2022,190,MALE,$25000 OR MORE,Ballot a,-100
2022,191,MALE,$25000 OR MORE,Ballot a,-100
2022,192,FEMALE,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,193,MALE,$25000 OR MORE,Ballot a,-100
2022,194,MALE,.r:  Refused,Ballot a,-100
2022,195,MALE,$25000 OR MORE,Ballot a,-100
2022,196,MALE,$25000 OR MORE,Ballot a,-100
2022,197,FEMALE,$25000 OR MORE,Ballot b,-100
2022,198,MALE,.i:  Inapplicable,Ballot b,-100
2022,199,MALE,.i:  Inapplicable,Ballot a,-100
2022,200,FEMALE,$25000 OR MORE,Ballot b,-100
2022,201,MALE,.i:  Inapplicable,Ballot a,-100
2022,202,MALE,.r:  Refused,Ballot a,-100
2022,203,FEMALE,$25000 OR MORE,Ballot a,-100
2022,204,MALE,$25000 OR MORE,Ballot a,-100
2022,205,MALE,$25000 OR MORE,Ballot c,71
2022,206,FEMALE,.i:  Inapplicable,Ballot c,62
2022,207,MALE,$25000 OR MORE,Ballot b,-100
2022,208,FEMALE,.i:  Inapplicable,Ballot c,64
2022,209,FEMALE,$6000 TO 6999,Ballot c,64
2022,210,MALE,$25000 OR MORE,Ballot c,76
2022,211,MALE,$25000 OR MORE,Ballot b,-100
2022,212,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,213,MALE,$25000 OR MORE,Ballot a,-100
2022,214,FEMALE,$25000 OR MORE,Ballot a,-100
2022,215,MALE,.i:  Inapplicable,Ballot b,-100
2022,216,FEMALE,$25000 OR MORE,Ballot b,-100
2022,217,MALE,$25000 OR MORE,Ballot b,-100
2022,218,MALE,$25000 OR MORE,Ballot b,-100
2022,219,MALE,.i:  Inapplicable,Ballot c,63
2022,220,MALE,$25000 OR MORE,Ballot a,-100
2022,221,FEMALE,.i:  Inapplicable,Ballot c,61
2022,222,FEMALE,$25000 OR MORE,Ballot b,-100
2022,223,FEMALE,.i:  Inapplicable,Ballot c,64
2022,224,FEMALE,$25000 OR MORE,Ballot c,65
2022,225,MALE,$25000 OR MORE,Ballot b,-100
2022,226,MALE,$25000 OR MORE,Ballot c,76
2022,227,FEMALE,$25000 OR MORE,Ballot b,-100
2022,228,FEMALE,$10000 - 14999,Ballot b,-100
2022,229,FEMALE,$25000 OR MORE,Ballot c,68
2022,230,MALE,$25000 OR MORE,Ballot c,74
2022,231,MALE,$4000 TO 4999,Ballot c,68
2022,232,MALE,.i:  Inapplicable,Ballot c,65
2022,233,MALE,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,234,FEMALE,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,235,MALE,$7000 TO 7999,Ballot b,-100
2022,236,FEMALE,.d:  Do not Know/Cannot Choose,Ballot c,60
2022,237,FEMALE,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,238,FEMALE,.i:  Inapplicable,Ballot c,61
2022,239,FEMALE,$25000 OR MORE,Ballot a,-100
2022,240,MALE,$25000 OR MORE,Ballot b,-100
2022,241,MALE,$10000 - 14999,Ballot a,-100
2022,242,MALE,$1000 TO 2999,Ballot c,57
2022,243,FEMALE,$25000 OR MORE,Ballot b,-100
2022,244,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,245,MALE,$25000 OR MORE,Ballot c,72
2022,246,FEMALE,.i:  Inapplicable,Ballot c,62
2022,247,MALE,$15000 - 19999,Ballot a,-100
2022,248,MALE,.i:  Inapplicable,Ballot a,-100
2022,249,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,250,MALE,$20000 - 24999,Ballot c,67
2022,251,FEMALE,$10000 - 14999,Ballot a,-100
2022,252,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,253,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,254,MALE,$25000 OR MORE,Ballot c,63
2022,255,FEMALE,.i:  Inapplicable,Ballot c,60
2022,256,MALE,$15000 - 19999,Ballot a,-100
2022,257,FEMALE,.i:  Inapplicable,Ballot c,65
2022,258,FEMALE,$25000 OR MORE,Ballot a,-100
2022,259,FEMALE,.i:  Inapplicable,Ballot c,63
2022,260,MALE,$25000 OR MORE,Ballot c,71
2022,261,FEMALE,.i:  Inapplicable,Ballot c,61
2022,262,FEMALE,.i:  Inapplicable,Ballot c,65
2022,263,MALE,.r:  Refused,Ballot a,-100
2022,264,FEMALE,$25000 OR MORE,Ballot a,-100
2022,265,FEMALE,$25000 OR MORE,Ballot a,-100
2022,266,MALE,$6000 TO 6999,Ballot a,-100
2022,267,FEMALE,$25000 OR MORE,Ballot b,-100
2022,268,FEMALE,$25000 OR MORE,Ballot a,-100
2022,269,MALE,.r:  Refused,Ballot a,-100
2022,270,MALE,$25000 OR MORE,Ballot a,-100
2022,271,MALE,$25000 OR MORE,Ballot b,-100
2022,272,FEMALE,$25000 OR MORE,Ballot a,-100
2022,273,FEMALE,$25000 OR MORE,Ballot a,-100
2022,274,MALE,$8000 TO 9999,Ballot b,-100
2022,275,MALE,$25000 OR MORE,Ballot b,-100
2022,276,FEMALE,.r:  Refused,Ballot b,-100
2022,277,MALE,$25000 OR MORE,Ballot c,74
2022,278,MALE,.i:  Inapplicable,Ballot b,-100
2022,279,MALE,.i:  Inapplicable,Ballot c,66
2022,280,FEMALE,$25000 OR MORE,Ballot c,60
2022,281,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,282,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,283,FEMALE,.i:  Inapplicable,Ballot c,59
2022,284,FEMALE,.i:  Inapplicable,Ballot c,63
2022,285,MALE,$25000 OR MORE,Ballot a,-100
2022,286,FEMALE,$25000 OR MORE,Ballot c,64
2022,287,FEMALE,$25000 OR MORE,Ballot c,62
2022,288,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,289,FEMALE,$15000 - 19999,Ballot c,62
2022,290,FEMALE,$4000 TO 4999,Ballot a,-100
2022,291,FEMALE,$4000 TO 4999,Ballot b,-100
2022,292,FEMALE,$25000 OR MORE,Ballot c,66
2022,293,MALE,$20000 - 24999,Ballot b,-100
2022,294,MALE,.i:  Inapplicable,Ballot c,73
2022,295,FEMALE,$25000 OR MORE,Ballot b,-100
2022,296,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,297,FEMALE,$25000 OR MORE,Ballot c,60
2022,298,MALE,.i:  Inapplicable,Ballot b,-100
2022,299,.s:  Skipped on Web,.s:  Skipped on Web,Ballot a,-100
2022,300,FEMALE,$10000 - 14999,Ballot a,-100
2022,301,FEMALE,.i:  Inapplicable,Ballot c,63
2022,302,MALE,.i:  Inapplicable,Ballot b,-100
2022,303,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,304,MALE,$25000 OR MORE,Ballot a,-100
2022,305,FEMALE,.i:  Inapplicable,Ballot c,67
2022,306,FEMALE,$15000 - 19999,Ballot b,-100
2022,307,MALE,.i:  Inapplicable,Ballot a,-100
2022,308,FEMALE,.i:  Inapplicable,Ballot c,63
2022,309,MALE,.i:  Inapplicable,Ballot a,-100
2022,310,MALE,$25000 OR MORE,Ballot c,68
2022,311,FEMALE,$25000 OR MORE,Ballot b,-100
2022,312,FEMALE,.i:  Inapplicable,Ballot c,66
2022,313,MALE,.i:  Inapplicable,Ballot c,70
2022,314,MALE,$25000 OR MORE,Ballot c,68
2022,315,MALE,.i:  Inapplicable,Ballot b,-100
2022,316,MALE,.i:  Inapplicable,Ballot c,71
2022,317,MALE,$25000 OR MORE,Ballot a,-100
2022,318,MALE,.i:  Inapplicable,Ballot a,-100
2022,319,MALE,$25000 OR MORE,Ballot b,-100
2022,320,MALE,.r:  Refused,Ballot a,-100
2022,321,MALE,$25000 OR MORE,Ballot a,-100
2022,322,MALE,.i:  Inapplicable,Ballot c,65
2022,323,FEMALE,.i:  Inapplicable,Ballot c,68
2022,324,MALE,$25000 OR MORE,Ballot a,-100
2022,325,FEMALE,$25000 OR MORE,Ballot c,67
2022,326,FEMALE,$25000 OR MORE,Ballot a,-100
2022,327,.n:  No answer,.r:  Refused,Ballot b,-100
2022,328,FEMALE,$25000 OR MORE,Ballot b,-100
2022,329,FEMALE,$25000 OR MORE,Ballot c,60
2022,330,MALE,$25000 OR MORE,Ballot b,-100
2022,331,MALE,$1000 TO 2999,Ballot a,-100
2022,332,FEMALE,$15000 - 19999,Ballot b,-100
2022,333,MALE,.i:  Inapplicable,Ballot a,-100
2022,334,FEMALE,$10000 - 14999,Ballot b,-100
2022,335,FEMALE,.r:  Refused,Ballot a,-100
2022,336,FEMALE,$25000 OR MORE,Ballot b,-100
2022,337,MALE,$25000 OR MORE,Ballot c,73
2022,338,MALE,$25000 OR MORE,Ballot c,67
2022,339,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,340,FEMALE,$15000 - 19999,Ballot b,-100
2022,341,FEMALE,$25000 OR MORE,Ballot c,63
2022,342,MALE,$15000 - 19999,Ballot a,-100
2022,343,MALE,$25000 OR MORE,Ballot b,-100
2022,344,MALE,.i:  Inapplicable,Ballot b,-100
2022,345,FEMALE,$8000 TO 9999,Ballot b,-100
2022,346,MALE,$25000 OR MORE,Ballot a,-100
2022,347,MALE,$25000 OR MORE,Ballot b,-100
2022,348,MALE,$25000 OR MORE,Ballot b,-100
2022,349,MALE,$25000 OR MORE,Ballot b,-100
2022,350,FEMALE,$15000 - 19999,Ballot b,-100
2022,351,MALE,.i:  Inapplicable,Ballot b,-100
2022,352,FEMALE,$25000 OR MORE,Ballot c,65
2022,353,MALE,$10000 - 14999,Ballot c,72
2022,354,FEMALE,$20000 - 24999,Ballot b,-100
2022,355,MALE,$15000 - 19999,Ballot c,75
2022,356,FEMALE,$25000 OR MORE,Ballot b,-100
2022,357,MALE,.i:  Inapplicable,Ballot c,70
2022,358,FEMALE,$25000 OR MORE,Ballot a,-100
2022,359,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,360,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,361,MALE,$25000 OR MORE,Ballot a,-100
2022,362,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,363,MALE,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,364,MALE,.i:  Inapplicable,Ballot a,-100
2022,365,FEMALE,$15000 - 19999,Ballot c,65
2022,366,MALE,.i:  Inapplicable,Ballot a,-100
2022,367,MALE,.i:  Inapplicable,Ballot c,69
2022,368,MALE,.i:  Inapplicable,Ballot a,-100
2022,369,MALE,.i:  Inapplicable,Ballot b,-100
2022,370,MALE,.r:  Refused,Ballot c,71
2022,371,MALE,.i:  Inapplicable,Ballot a,-100
2022,372,MALE,.i:  Inapplicable,Ballot a,-100
2022,373,FEMALE,$15000 - 19999,Ballot c,65
2022,374,FEMALE,$25000 OR MORE,Ballot b,-100
2022,375,FEMALE,.r:  Refused,Ballot b,-100
2022,376,MALE,.i:  Inapplicable,Ballot b,-100
2022,377,MALE,$25000 OR MORE,Ballot c,69
2022,378,FEMALE,$20000 - 24999,Ballot a,-100
2022,379,MALE,$25000 OR MORE,Ballot c,72
2022,380,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,Ballot a,-100
2022,381,MALE,$25000 OR MORE,Ballot a,-100
2022,382,FEMALE,.i:  Inapplicable,Ballot c,68
2022,383,FEMALE,$25000 OR MORE,Ballot b,-100
2022,384,FEMALE,$10000 - 14999,Ballot a,-100
2022,385,MALE,.i:  Inapplicable,Ballot c,72
2022,386,MALE,$25000 OR MORE,Ballot c,71
2022,387,MALE,.i:  Inapplicable,Ballot b,-100
2022,388,MALE,.i:  Inapplicable,Ballot c,70
2022,389,FEMALE,$25000 OR MORE,Ballot c,67
2022,390,FEMALE,$15000 - 19999,Ballot a,-100
2022,391,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,392,MALE,.i:  Inapplicable,Ballot a,-100
2022,393,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,394,MALE,$25000 OR MORE,Ballot b,-100
2022,395,FEMALE,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,396,MALE,.i:  Inapplicable,Ballot b,-100
2022,397,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,398,FEMALE,$4000 TO 4999,Ballot b,-100
2022,399,FEMALE,$20000 - 24999,Ballot a,-100
2022,400,MALE,$25000 OR MORE,Ballot c,70
2022,401,MALE,$25000 OR MORE,Ballot b,-100
2022,402,MALE,.i:  Inapplicable,Ballot c,67
2022,403,MALE,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,404,MALE,$25000 OR MORE,Ballot c,70
2022,405,MALE,$3000 TO 3999,Ballot a,-100
2022,406,MALE,$15000 - 19999,Ballot c,69
2022,407,FEMALE,$25000 OR MORE,Ballot b,-100
2022,408,MALE,.i:  Inapplicable,Ballot a,-100
2022,409,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,410,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,411,MALE,.i:  Inapplicable,Ballot a,-100
2022,412,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,413,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,414,FEMALE,$25000 OR MORE,Ballot b,-100
2022,415,FEMALE,$10000 - 14999,Ballot c,66
2022,416,MALE,$25000 OR MORE,Ballot a,-100
2022,417,FEMALE,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,418,MALE,$10000 - 14999,Ballot c,77
2022,419,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,420,MALE,$25000 OR MORE,Ballot c,72
2022,421,MALE,$25000 OR MORE,Ballot b,-100
2022,422,MALE,$25000 OR MORE,Ballot c,66
2022,423,FEMALE,.i:  Inapplicable,Ballot c,62
2022,424,MALE,$25000 OR MORE,Ballot b,-100
2022,425,MALE,$20000 - 24999,Ballot a,-100
2022,426,MALE,$25000 OR MORE,Ballot b,-100
2022,427,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,428,MALE,$25000 OR MORE,Ballot b,-100
2022,429,FEMALE,$25000 OR MORE,Ballot b,-100
2022,430,FEMALE,$25000 OR MORE,Ballot a,-100
2022,431,FEMALE,.s:  Skipped on Web,Ballot a,-100
2022,432,FEMALE,.i:  Inapplicable,Ballot c,64
2022,433,MALE,$10000 - 14999,Ballot c,69
2022,434,FEMALE,$25000 OR MORE,Ballot a,-100
2022,435,FEMALE,$25000 OR MORE,Ballot c,61
2022,436,FEMALE,.i:  Inapplicable,Ballot b,-100
2022,437,MALE,$20000 - 24999,Ballot a,-100
2022,438,MALE,$25000 OR MORE,Ballot a,-100
2022,439,FEMALE,$25000 OR MORE,Ballot b,-100
2022,440,MALE,$8000 TO 9999,Ballot b,-100
2022,441,MALE,$25000 OR MORE,Ballot b,-100
2022,442,MALE,.i:  Inapplicable,Ballot c,65
2022,443,.n:  No answer,.i:  Inapplicable,Ballot c,-100
2022,444,FEMALE,$25000 OR MORE,Ballot c,68
2022,445,FEMALE,$25000 OR MORE,Ballot c,67
2022,446,FEMALE,$25000 OR MORE,Ballot c,62
2022,447,MALE,$25000 OR MORE,Ballot b,-100
2022,448,MALE,.i:  Inapplicable,Ballot a,-100
2022,449,MALE,$25000 OR MORE,Ballot a,-100
2022,450,MALE,$25000 OR MORE,Ballot b,-100
2022,451,MALE,.i:  Inapplicable,Ballot a,-100
2022,452,FEMALE,$15000 - 19999,Ballot c,65
2022,453,MALE,$25000 OR MORE,Ballot b,-100
2022,454,FEMALE,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,455,FEMALE,$25000 OR MORE,Ballot c,67
2022,456,FEMALE,$25000 OR MORE,Ballot c,63
2022,457,MALE,$25000 OR MORE,Ballot a,-100
2022,458,FEMALE,.i:  Inapplicable,Ballot c,66
2022,459,FEMALE,$25000 OR MORE,Ballot a,-100
2022,460,FEMALE,LT $1000,Ballot a,-100
2022,461,FEMALE,.i:  Inapplicable,Ballot a,-100
2022,462,FEMALE,$25000 OR MORE,Ballot c,65
2022,463,FEMALE,$25000 OR MORE,Ballot b,-100
2022,464,FEMALE,.i:  Inapplicable,Ballot c,61
2022,465,FEMALE,.d:  Do not Know/Cannot Choose,Ballot c,64
2022,466,MALE,$20000 - 24999,Ballot a,-100
2022,467,FEMALE,$25000 OR MORE,Ballot a,-100
2022,468,FEMALE,.i:  Inapplicable,Ballot c,71
2022,469,MALE,$25000 OR MORE,Ballot b,-100
2022,470,FEMALE,.i:  Inapplicable,Ballot c,62
2022,471,FEMALE,$25000 OR MORE,Ballot a,-100
2022,472,FEMALE,$25000 OR MORE,Ballot b,-100
2022,473,FEMALE,$25000 OR MORE,Ballot a,-100
2022,474,MALE,$25000 OR MORE,Ballot b,-100
2022,475,FEMALE,$8000 TO 9999,Ballot b,-100
2022,476,FEMALE,$25000 OR MORE,Ballot a,-100
