respondent_id,wave,party,benefit_cut_support
184,2,SF,0.25
184,3,SF,0
184,4,SF,0.75
184,5,SF,0.75
185,1,LA,0.75
185,2,LA,0.75
185,3,LA,0.75
185,4,LA,0.75
185,5,LA,0.25
186,1,NA,0.5
186,2,NA,0.75
186,3,NA,0.75
186,4,NA,NA
186,5,NA,NA
187,1,V,0.75
187,2,V,0.75
187,3,V,NA
187,4,V,NA
187,5,V,NA
188,1,C,0.75
188,2,C,0.75
188,3,C,0.75
188,4,C,NA
188,5,C,0.75
189,1,C,0.25
189,2,C,0.75
189,3,C,0.75
189,4,C,1
189,5,C,NA
190,1,OE,0
190,2,OE,0
190,3,OE,NA
190,4,OE,0
190,5,OE,NA
191,1,S,0.25
191,2,S,0.75
191,3,S,0.5
191,4,S,0.25
191,5,S,0.25
192,1,NA,0.25
192,2,NA,NA
192,3,NA,0
192,4,NA,NA
192,5,NA,NA
193,1,S,NA
193,2,S,NA
193,3,S,NA
193,4,S,NA
193,5,S,NA
194,1,V,0.75
194,2,V,NA
194,3,V,NA
194,4,V,NA
194,5,V,NA
195,1,V,NA
195,2,V,NA
195,3,V,NA
195,4,V,NA
195,5,V,NA
196,1,S,1
196,2,S,0
196,3,S,NA
196,4,S,NA
196,5,S,NA
197,1,V,0.75
197,2,V,1
197,3,V,NA
197,4,V,1
197,5,V,0.75
198,1,DF,0
198,2,DF,0
198,3,DF,0
198,4,DF,NA
198,5,DF,0
199,1,NA,1
199,2,NA,1
199,3,NA,1
199,4,NA,1
199,5,NA,1
200,1,V,0.75
200,2,V,0.75
200,3,V,1
200,4,V,0.75
200,5,V,1
201,1,SF,0.75
201,2,SF,NA
201,3,SF,0.75
201,4,SF,NA
201,5,SF,0.75
202,1,C,1
202,2,C,1
202,3,C,1
202,4,C,0.75
202,5,C,1
203,1,SF,0
203,2,SF,0
203,3,SF,NA
203,4,SF,NA
203,5,SF,0
204,1,OE,0
204,2,OE,0
204,3,OE,0
204,4,OE,0
204,5,OE,0
205,1,SF,0
205,2,SF,NA
205,3,SF,0
205,4,SF,NA
205,5,SF,0.25
206,1,C,1
206,2,C,0.5
206,3,C,0.75
206,4,C,NA
206,5,C,0.75
207,1,OE,0
207,2,OE,0
207,3,OE,0
207,4,OE,0
207,5,OE,0
208,1,S,0
208,2,S,NA
208,3,S,NA
208,4,S,NA
208,5,S,NA
209,1,OE,0
209,2,OE,0.25
209,3,OE,0
209,4,OE,0
209,5,OE,0
210,1,OE,0
210,2,OE,0
210,3,OE,0
210,4,OE,0
210,5,OE,NA
211,1,C,0.25
211,2,C,NA
211,3,C,0.75
211,4,C,NA
211,5,C,NA
212,1,S,0
212,2,S,NA
212,3,S,0.25
212,4,S,0.75
212,5,S,0.25
213,1,V,1
213,2,V,NA
213,3,V,NA
213,4,V,NA
213,5,V,NA
214,1,V,0.75
214,2,V,0.75
214,3,V,1
214,4,V,1
214,5,V,NA
215,1,S,0
215,2,S,0
215,3,S,1
215,4,S,0.5
215,5,S,1
216,1,V,0.75
216,2,V,NA
216,3,V,0.75
216,4,V,NA
216,5,V,0.75
217,1,NA,0.5
217,2,NA,0
217,3,NA,0.25
217,4,NA,0
217,5,NA,0.75
218,1,DF,0.5
218,2,DF,0.5
218,3,DF,0.25
218,4,DF,NA
218,5,DF,0.5
219,1,DF,0
219,2,DF,0
219,3,DF,0.75
219,4,DF,0.5
219,5,DF,NA
220,1,NA,1
220,2,NA,1
220,3,NA,1
220,4,NA,NA
220,5,NA,1
221,1,V,1
221,2,V,0.75
221,3,V,1
221,4,V,1
221,5,V,NA
222,1,SF,0.25
222,2,SF,1
222,3,SF,1
222,4,SF,0.75
222,5,SF,NA
223,1,V,0.75
223,2,V,NA
223,3,V,0.5
223,4,V,NA
223,5,V,NA
224,1,SF,1
224,2,SF,NA
224,3,SF,NA
224,4,SF,NA
224,5,SF,NA
225,1,SF,0.25
225,2,SF,0
225,3,SF,0
225,4,SF,NA
225,5,SF,0.25
226,1,SF,0
226,2,SF,NA
226,3,SF,NA
226,4,SF,NA
226,5,SF,NA
227,1,SF,0.75
227,2,SF,NA
227,3,SF,NA
227,4,SF,NA
227,5,SF,NA
228,1,V,0.25
228,2,V,0.25
228,3,V,1
228,4,V,1
228,5,V,1
229,1,SF,0
229,2,SF,0
229,3,SF,0
229,4,SF,0
229,5,SF,NA
230,1,S,0
230,2,S,NA
230,3,S,NA
230,4,S,NA
230,5,S,NA
231,1,C,NA
231,2,C,NA
231,3,C,NA
231,4,C,NA
231,5,C,NA
232,1,V,0
232,2,V,NA
232,3,V,NA
232,4,V,NA
232,5,V,NA
233,1,V,0.25
233,2,V,0.25
233,3,V,0.25
233,4,V,0.25
233,5,V,NA
234,1,RV,0.5
234,2,RV,0.5
234,3,RV,1
234,4,RV,1
234,5,RV,0.75
235,1,SF,0.5
235,2,SF,NA
235,3,SF,NA
235,4,SF,NA
235,5,SF,NA
236,1,V,0.5
236,2,V,0.5
236,3,V,0.75
236,4,V,0.25
236,5,V,0.25
237,1,S,0
237,2,S,0
237,3,S,0
237,4,S,0
237,5,S,0
238,1,C,0
238,2,C,0
238,3,C,NA
238,4,C,0.5
238,5,C,0.75
239,1,DF,0
239,2,DF,0.25
239,3,DF,0
239,4,DF,0.25
239,5,DF,0
240,1,NA,1
240,2,NA,NA
240,3,NA,NA
240,4,NA,NA
240,5,NA,NA
241,1,V,0
241,2,V,NA
241,3,V,NA
241,4,V,NA
241,5,V,NA
242,1,V,0.25
242,2,V,NA
242,3,V,NA
242,4,V,NA
242,5,V,NA
243,1,S,0.25
243,2,S,NA
243,3,S,NA
243,4,S,0
243,5,S,NA
244,1,S,0.25
244,2,S,NA
244,3,S,NA
244,4,S,NA
244,5,S,NA
245,1,SF,0
245,2,SF,0
245,3,SF,0
245,4,SF,0.25
245,5,SF,0
246,1,S,0.75
246,2,S,NA
246,3,S,NA
246,4,S,NA
246,5,S,NA
247,1,SF,0
247,2,SF,0.25
247,3,SF,0
247,4,SF,0
247,5,SF,0
248,1,NA,0.75
248,2,NA,0.25
248,3,NA,0.5
248,4,NA,0.5
248,5,NA,0.25
249,1,SF,0.5
249,2,SF,0.25
249,3,SF,0.5
249,4,SF,0
249,5,SF,0
250,1,V,0.25
250,2,V,0.5
250,3,V,0.75
250,4,V,0.5
250,5,V,0.5
251,1,DF,0
251,2,DF,0
251,3,DF,0
251,4,DF,0
251,5,DF,0.5
252,1,V,0.25
252,2,V,0.25
252,3,V,1
252,4,V,0.75
252,5,V,0.75
253,1,NA,0.75
253,2,NA,0.75
253,3,NA,NA
253,4,NA,1
253,5,NA,1
254,1,NA,0
254,2,NA,0
254,3,NA,0.75
254,4,NA,NA
254,5,NA,0.75
255,1,OE,0
255,2,OE,NA
255,3,OE,NA
255,4,OE,NA
255,5,OE,NA
256,1,C,0
256,2,C,NA
256,3,C,NA
256,4,C,NA
256,5,C,NA
257,1,Kr,0.25
257,2,Kr,0.25
257,3,Kr,1
257,4,Kr,0.25
257,5,Kr,0.75
258,1,DF,0.25
258,2,DF,NA
258,3,DF,NA
258,4,DF,NA
258,5,DF,NA
259,1,RV,0.75
259,2,RV,NA
259,3,RV,NA
259,4,RV,0.75
259,5,RV,0.75
260,1,DF,1
260,2,DF,NA
260,3,DF,NA
260,4,DF,NA
260,5,DF,NA
261,1,S,0.5
261,2,S,NA
261,3,S,0.25
261,4,S,NA
261,5,S,0.5
262,1,OE,0
262,2,OE,0
262,3,OE,0
262,4,OE,0
262,5,OE,0
263,1,Kr,0.25
263,2,Kr,NA
263,3,Kr,NA
263,4,Kr,NA
263,5,Kr,NA
264,1,S,0.5
264,2,S,0.75
264,3,S,0.5
264,4,S,0.75
264,5,S,0.25
265,1,NA,0
265,2,NA,NA
265,3,NA,NA
265,4,NA,NA
265,5,NA,NA
266,1,S,0.5
266,2,S,0
266,3,S,0.25
266,4,S,0
266,5,S,0
267,1,S,0
267,2,S,NA
267,3,S,NA
267,4,S,NA
267,5,S,NA
268,1,C,1
268,2,C,NA
268,3,C,NA
268,4,C,NA
268,5,C,NA
269,1,SF,0
269,2,SF,NA
269,3,SF,NA
269,4,SF,NA
269,5,SF,NA
270,1,V,1
270,2,V,1
270,3,V,1
270,4,V,1
270,5,V,1
271,1,V,0.25
271,2,V,0.25
271,3,V,0
271,4,V,0
271,5,V,0.25
272,1,SF,0.5
272,2,SF,NA
272,3,SF,NA
272,4,SF,NA
272,5,SF,NA
273,1,NA,0
273,2,NA,NA
273,3,NA,NA
273,4,NA,NA
273,5,NA,NA
274,1,DF,0.5
274,2,DF,0.75
274,3,DF,1
274,4,DF,0.75
274,5,DF,0.75
275,1,NA,NA
275,2,NA,NA
275,3,NA,0.5
275,4,NA,0.25
275,5,NA,NA
276,1,S,NA
276,2,S,NA
276,3,S,NA
276,4,S,NA
276,5,S,NA
277,1,V,0
277,2,V,NA
277,3,V,NA
277,4,V,NA
277,5,V,NA
278,1,V,0.75
278,2,V,NA
278,3,V,NA
278,4,V,NA
278,5,V,NA
279,1,SF,0
279,2,SF,0
279,3,SF,0
279,4,SF,0.25
279,5,SF,0
280,1,V,1
280,2,V,NA
280,3,V,NA
280,4,V,NA
280,5,V,NA
281,1,DF,NA
281,2,DF,NA
281,3,DF,NA
281,4,DF,0.5
281,5,DF,0.75
282,1,V,0.5
282,2,V,NA
282,3,V,NA
282,4,V,NA
282,5,V,NA
283,1,SF,0.25
283,2,SF,0
283,3,SF,0.75
283,4,SF,1
283,5,SF,0.25
284,1,NA,NA
284,2,NA,NA
284,3,NA,NA
284,4,NA,NA
284,5,NA,NA
285,1,S,0
285,2,S,0
285,3,S,0
285,4,S,0
285,5,S,0
286,1,V,0.5
286,2,V,1
286,3,V,0.75
286,4,V,1
286,5,V,NA
287,1,SF,0.75
287,2,SF,0.5
287,3,SF,NA
287,4,SF,0.5
287,5,SF,0
288,1,S,0.25
288,2,S,0.25
288,3,S,0.25
288,4,S,0.25
288,5,S,0.25
289,1,SF,0.25
289,2,SF,NA
289,3,SF,0
289,4,SF,NA
289,5,SF,NA
290,1,S,0
290,2,S,NA
290,3,S,NA
290,4,S,NA
290,5,S,NA
291,1,S,0
291,2,S,0
291,3,S,0
291,4,S,0
291,5,S,0
292,1,S,0.75
292,2,S,NA
292,3,S,NA
292,4,S,NA
292,5,S,NA
293,1,LA,1
293,2,LA,1
293,3,LA,1
293,4,LA,1
293,5,LA,1
